Block,Transect,Pair,Plot.ID,Treatment,Species,Count,Plant.no,Exotic,Date,Seed.mass.available,Value.mg,Annual.perrennial 
14,S,2,14.S.2.C,Control,B.iberidifola,35,15,0,27-Aug-13,1,0.074322222,Annual
14,S,2,14.S.2.C,Control,B.iberidifola,35,16,0,27-Aug-13,1,0.074322222,Annual
14,S,2,14.S.2.C,Control,B.iberidifola,35,17,0,27-Aug-13,1,0.074322222,Annual
14,S,2,14.S.2.C,Control,B.iberidifola,35,18,0,27-Aug-13,1,0.074322222,Annual
14,S,2,14.S.2.C,Control,B.iberidifola,35,19,0,27-Aug-13,1,0.074322222,Annual
14,S,2,14.S.2.C,Control,B.iberidifola,35,20,0,27-Aug-13,1,0.074322222,Annual
14,S,2,14.S.2.C,Control,B.iberidifola,35,21,0,27-Aug-13,1,0.074322222,Annual
14,S,2,14.S.2.C,Control,B.iberidifola,35,22,0,27-Aug-13,1,0.074322222,Annual
14,S,2,14.S.2.C,Control,B.iberidifola,35,23,0,27-Aug-13,1,0.074322222,Annual
14,S,2,14.S.2.C,Control,B.iberidifola,35,24,0,27-Aug-13,1,0.074322222,Annual
14,S,2,14.S.2.C,Control,B.iberidifola,35,25,0,27-Aug-13,1,0.074322222,Annual
14,S,2,14.S.2.C,Control,B.iberidifola,35,26,0,27-Aug-13,1,0.074322222,Annual
14,S,2,14.S.2.C,Control,B.iberidifola,35,27,0,27-Aug-13,1,0.074322222,Annual
14,S,2,14.S.2.C,Control,B.iberidifola,35,28,0,27-Aug-13,1,0.074322222,Annual
14,S,2,14.S.2.C,Control,B.iberidifola,35,29,0,27-Aug-13,1,0.074322222,Annual
14,S,2,14.S.2.C,Control,B.iberidifola,35,30,0,27-Aug-13,1,0.074322222,Annual
14,S,2,14.S.2.C,Control,B.iberidifola,35,31,0,27-Aug-13,1,0.074322222,Annual
14,S,2,14.S.2.C,Control,B.iberidifola,35,32,0,27-Aug-13,1,0.074322222,Annual
14,S,2,14.S.2.C,Control,B.iberidifola,35,33,0,27-Aug-13,1,0.074322222,Annual
14,S,2,14.S.2.C,Control,B.iberidifola,35,34,0,27-Aug-13,1,0.074322222,Annual
14,S,2,14.S.2.C,Control,B.iberidifola,35,35,0,27-Aug-13,1,0.074322222,Annual
14,S,2,14.S.2.L,Litter,B.iberidifola,22,1,0,27-Aug-13,1,0.074322222,Annual
14,S,2,14.S.2.L,Litter,B.iberidifola,22,2,0,27-Aug-13,1,0.074322222,Annual
14,S,2,14.S.2.L,Litter,B.iberidifola,22,3,0,27-Aug-13,1,0.074322222,Annual
14,S,2,14.S.2.L,Litter,B.iberidifola,22,4,0,27-Aug-13,1,0.074322222,Annual
14,S,2,14.S.2.L,Litter,B.iberidifola,22,5,0,27-Aug-13,1,0.074322222,Annual
14,S,2,14.S.2.L,Litter,B.iberidifola,22,6,0,27-Aug-13,1,0.074322222,Annual
14,S,2,14.S.2.L,Litter,B.iberidifola,22,7,0,27-Aug-13,1,0.074322222,Annual
14,S,2,14.S.2.L,Litter,B.iberidifola,22,8,0,27-Aug-13,1,0.074322222,Annual
14,S,2,14.S.2.L,Litter,B.iberidifola,22,9,0,27-Aug-13,1,0.074322222,Annual
14,S,2,14.S.2.L,Litter,B.iberidifola,22,10,0,27-Aug-13,1,0.074322222,Annual
14,S,2,14.S.2.L,Litter,B.iberidifola,22,11,0,27-Aug-13,1,0.074322222,Annual
14,S,2,14.S.2.L,Litter,B.iberidifola,22,12,0,27-Aug-13,1,0.074322222,Annual
14,S,2,14.S.2.L,Litter,B.iberidifola,22,13,0,27-Aug-13,1,0.074322222,Annual
14,S,2,14.S.2.L,Litter,B.iberidifola,22,14,0,27-Aug-13,1,0.074322222,Annual
14,S,2,14.S.2.L,Litter,B.iberidifola,22,15,0,27-Aug-13,1,0.074322222,Annual
14,S,2,14.S.2.L,Litter,B.iberidifola,22,16,0,27-Aug-13,1,0.074322222,Annual
14,S,2,14.S.2.L,Litter,B.iberidifola,22,17,0,27-Aug-13,1,0.074322222,Annual
14,S,2,14.S.2.L,Litter,B.iberidifola,22,18,0,27-Aug-13,1,0.074322222,Annual
14,S,2,14.S.2.L,Litter,B.iberidifola,22,19,0,27-Aug-13,1,0.074322222,Annual
14,S,2,14.S.2.L,Litter,B.iberidifola,22,20,0,27-Aug-13,1,0.074322222,Annual
14,S,2,14.S.2.L,Litter,B.iberidifola,22,21,0,27-Aug-13,1,0.074322222,Annual
14,S,2,14.S.2.L,Litter,B.iberidifola,22,22,0,27-Aug-13,1,0.074322222,Annual
14,S,3,14.S.3.C,Control,B.iberidifola,17,1,0,27-Aug-13,1,0.074322222,Annual
14,S,3,14.S.3.C,Control,B.iberidifola,17,2,0,27-Aug-13,1,0.074322222,Annual
14,S,3,14.S.3.C,Control,B.iberidifola,17,3,0,27-Aug-13,1,0.074322222,Annual
14,S,3,14.S.3.C,Control,B.iberidifola,17,4,0,27-Aug-13,1,0.074322222,Annual
14,S,3,14.S.3.C,Control,B.iberidifola,17,5,0,27-Aug-13,1,0.074322222,Annual
14,S,3,14.S.3.C,Control,B.iberidifola,17,6,0,27-Aug-13,1,0.074322222,Annual
14,S,3,14.S.3.C,Control,B.iberidifola,17,7,0,27-Aug-13,1,0.074322222,Annual
14,S,3,14.S.3.C,Control,B.iberidifola,17,8,0,27-Aug-13,1,0.074322222,Annual
14,S,3,14.S.3.C,Control,B.iberidifola,17,9,0,27-Aug-13,1,0.074322222,Annual
